edge_id,attribute_name,source_stem_id,target_stem_id,directed,weight
edge-main-timeline-63,date,6194,6347,true,1
edge-main-timeline-64,date,6347,6437,true,1
edge-main-timeline-65,date,6437,6539,true,1
edge-aftershock-0,force,132,137,true,9
edge-aftershock-1,force,132,175,true,9
edge-aftershock-2,force,138,154,true,12
edge-aftershock-3,force,237,236,true,11
edge-aftershock-4,force,237,239,true,9
edge-aftershock-5,force,299,300,true,10
edge-aftershock-6,force,299,342,true,11
edge-aftershock-7,force,333,360,true,9
edge-aftershock-8,force,333,429,true,10
edge-aftershock-9,force,453,465,true,9
edge-aftershock-10,force,526,528,true,11
edge-aftershock-11,force,526,529,true,9
edge-aftershock-12,force,526,542,true,9
edge-aftershock-13,force,526,549,true,10
edge-aftershock-14,force,526,566,true,9
edge-aftershock-15,force,553,554,true,10
edge-aftershock-16,force,553,555,true,10
edge-aftershock-17,force,553,556,true,9
edge-aftershock-18,force,553,557,true,11
edge-aftershock-19,force,553,558,true,9
edge-aftershock-20,force,553,564,true,10
edge-aftershock-21,force,553,569,true,9
edge-aftershock-22,force,553,570,true,9
edge-aftershock-23,force,553,571,true,10
edge-aftershock-24,force,553,572,true,9
edge-aftershock-25,force,553,574,true,11
edge-aftershock-26,force,553,577,true,10
edge-aftershock-27,force,553,585,true,10
edge-aftershock-28,force,553,586,true,9
edge-aftershock-29,force,553,606,true,9
edge-aftershock-30,force,553,609,true,10
edge-aftershock-31,force,553,621,true,9
edge-aftershock-32,force,553,632,true,9
edge-aftershock-33,force,594,593,true,10
edge-aftershock-34,force,594,595,true,9
edge-aftershock-35,force,594,596,true,9
edge-aftershock-36,force,594,597,true,9
edge-aftershock-37,force,594,598,true,9
edge-aftershock-38,force,594,634,true,9
edge-aftershock-39,force,594,640,true,9
edge-aftershock-40,force,646,645,true,12
edge-aftershock-41,force,646,651,true,9
edge-aftershock-42,force,705,706,true,9
edge-aftershock-43,force,1139,1136,true,10
edge-aftershock-44,force,1139,1137,true,10
edge-aftershock-45,force,1139,1138,true,10
edge-aftershock-46,force,1139,1141,true,10
edge-aftershock-47,force,1139,1155,true,11
edge-aftershock-48,force,1139,1161,true,10
edge-aftershock-49,force,1139,1202,true,11
edge-aftershock-50,force,1291,1292,true,9
edge-aftershock-51,force,1291,1325,true,10
edge-aftershock-52,force,1363,1362,true,9
edge-aftershock-53,force,1363,1364,true,9
edge-aftershock-54,force,1363,1365,true,10
edge-aftershock-55,force,1363,1367,true,9
edge-aftershock-56,force,1363,1368,true,11
edge-aftershock-57,force,1363,1369,true,9
edge-aftershock-58,force,1363,1371,true,9
edge-aftershock-59,force,1363,1372,true,9
edge-aftershock-60,force,1363,1373,true,9
edge-aftershock-61,force,1363,1374,true,10
edge-aftershock-62,force,1363,1376,true,9
edge-aftershock-63,force,1363,1377,true,9
edge-aftershock-64,force,1363,1378,true,9
edge-aftershock-65,force,1363,1382,true,9
edge-aftershock-66,force,1363,1389,true,10
edge-aftershock-67,force,1363,1391,true,9
edge-aftershock-68,force,1363,1392,true,9
edge-aftershock-69,force,1363,1393,true,9
edge-aftershock-70,force,1363,1402,true,9
edge-aftershock-71,force,1380,1403,true,11
edge-aftershock-72,force,1380,1415,true,9
edge-aftershock-73,force,1380,1447,true,12
edge-aftershock-74,force,1380,1449,true,9
edge-aftershock-75,force,1380,1450,true,9
edge-aftershock-76,force,1380,1487,true,11
edge-aftershock-77,force,1380,1500,true,9
edge-aftershock-78,force,1380,1508,true,11
edge-aftershock-79,force,1380,1580,true,10
edge-aftershock-80,force,1380,1582,true,9
edge-aftershock-81,force,1380,1585,true,9
edge-aftershock-82,force,1380,1586,true,9
edge-aftershock-83,force,1380,1589,true,9
edge-aftershock-84,force,1380,1592,true,9
edge-aftershock-85,force,1380,1595,true,9
edge-aftershock-86,force,1380,1599,true,9
edge-aftershock-87,force,1388,1390,true,9
edge-aftershock-88,force,1394,1458,true,9
edge-aftershock-89,force,1491,1490,true,11
edge-aftershock-90,force,1715,1746,true,9
edge-aftershock-91,force,1715,1771,true,9
edge-aftershock-92,force,1715,1773,true,9
edge-aftershock-93,force,1715,1800,true,9
edge-aftershock-94,force,1715,1801,true,10
edge-aftershock-95,force,1715,1802,true,9
edge-aftershock-96,force,1715,1814,true,9
edge-aftershock-97,force,1760,1759,true,9
edge-aftershock-98,force,1760,1762,true,9
edge-aftershock-99,force,1760,1764,true,10
edge-aftershock-100,force,1760,1850,true,9
edge-aftershock-101,force,1808,1807,true,12
edge-aftershock-102,force,1808,1809,true,10
edge-aftershock-103,force,1808,1810,true,9
edge-aftershock-104,force,1808,1815,true,10
edge-aftershock-105,force,1808,1822,true,9
edge-aftershock-106,force,1808,1848,true,9
edge-aftershock-107,force,1808,1873,true,9
edge-aftershock-108,force,1887,1888,true,9
edge-aftershock-109,force,1887,1889,true,9
edge-aftershock-110,force,1887,1897,true,9
edge-aftershock-111,force,1887,1980,true,9
edge-aftershock-112,force,2252,2253,true,10
edge-aftershock-113,force,2252,2254,true,9
edge-aftershock-114,force,2252,2255,true,10
edge-aftershock-115,force,2252,2256,true,11
edge-aftershock-116,force,2252,2257,true,9
edge-aftershock-117,force,2252,2260,true,10
edge-aftershock-118,force,2252,2261,true,10
edge-aftershock-119,force,2252,2262,true,9
edge-aftershock-120,force,2252,2268,true,9
edge-aftershock-121,force,2252,2274,true,11
edge-aftershock-122,force,2252,2276,true,10
edge-aftershock-123,force,2252,2278,true,9
edge-aftershock-124,force,2252,2285,true,9
edge-aftershock-125,force,2252,2320,true,10
edge-aftershock-126,force,2252,2366,true,10
edge-aftershock-127,force,2252,2374,true,9
edge-aftershock-128,force,2291,2292,true,10
edge-aftershock-129,force,2291,2293,true,11
edge-aftershock-130,force,2291,2294,true,9
edge-aftershock-131,force,2291,2295,true,10
edge-aftershock-132,force,2291,2296,true,9
edge-aftershock-133,force,2291,2297,true,9
edge-aftershock-134,force,2291,2298,true,10
edge-aftershock-135,force,2291,2299,true,9
edge-aftershock-136,force,2291,2300,true,9
edge-aftershock-137,force,2291,2301,true,10
edge-aftershock-138,force,2291,2302,true,9
edge-aftershock-139,force,2291,2303,true,12
edge-aftershock-140,force,2291,2304,true,10
edge-aftershock-141,force,2291,2305,true,10
edge-aftershock-142,force,2291,2306,true,10
edge-aftershock-143,force,2291,2307,true,9
edge-aftershock-144,force,2291,2311,true,9
edge-aftershock-145,force,2291,2312,true,9
edge-aftershock-146,force,2291,2313,true,9
edge-aftershock-147,force,2291,2317,true,9
edge-aftershock-148,force,2291,2318,true,9
edge-aftershock-149,force,2291,2321,true,9
edge-aftershock-150,force,2291,2333,true,9
edge-aftershock-151,force,2291,2346,true,10
edge-aftershock-152,force,2291,2354,true,9
edge-aftershock-153,force,2291,2365,true,9
edge-aftershock-154,force,2291,2368,true,9
edge-aftershock-155,force,2291,2370,true,9
edge-aftershock-156,force,2291,2391,true,9
edge-aftershock-157,force,2376,2457,true,10
edge-aftershock-158,force,2737,2738,true,11
edge-aftershock-159,force,2878,2879,true,10
edge-aftershock-160,force,2878,2941,true,9
edge-aftershock-161,force,2878,2969,true,9
edge-aftershock-162,force,3119,3120,true,10
edge-aftershock-163,force,3119,3121,true,9
edge-aftershock-164,force,3119,3123,true,9
edge-aftershock-165,force,3119,3125,true,11
edge-aftershock-166,force,3119,3136,true,9
edge-aftershock-167,force,3119,3156,true,11
edge-aftershock-168,force,3119,3159,true,9
edge-aftershock-169,force,3119,3161,true,9
edge-aftershock-170,force,3119,3169,true,9
edge-aftershock-171,force,3119,3170,true,10
edge-aftershock-172,force,3119,3181,true,9
edge-aftershock-173,force,3119,3208,true,9
edge-aftershock-174,force,3119,3220,true,9
edge-aftershock-175,force,3119,3221,true,9
edge-aftershock-176,force,3119,3222,true,9
edge-aftershock-177,force,3119,3240,true,9
edge-aftershock-178,force,3119,3243,true,9
edge-aftershock-179,force,3119,3244,true,9
edge-aftershock-180,force,3395,3396,true,9
edge-aftershock-181,force,3395,3397,true,10
edge-aftershock-182,force,3395,3398,true,11
edge-aftershock-183,force,3395,3399,true,9
edge-aftershock-184,force,3395,3401,true,9
edge-aftershock-185,force,3395,3404,true,10
edge-aftershock-186,force,3395,3407,true,9
edge-aftershock-187,force,3395,3408,true,10
edge-aftershock-188,force,3395,3413,true,9
edge-aftershock-189,force,3395,3414,true,9
edge-aftershock-190,force,3395,3417,true,9
edge-aftershock-191,force,3395,3419,true,9
edge-aftershock-192,force,3395,3453,true,9
edge-aftershock-193,force,3405,3462,true,10
edge-aftershock-194,force,3505,3506,true,9
edge-aftershock-195,force,3505,3508,true,9
edge-aftershock-196,force,3505,3512,true,9
edge-aftershock-197,force,3505,3514,true,10
edge-aftershock-198,force,3505,3517,true,9
edge-aftershock-199,force,3505,3529,true,9
edge-aftershock-200,force,3505,3584,true,9
edge-aftershock-201,force,3546,3547,true,9
edge-aftershock-202,force,3546,3548,true,9
edge-aftershock-203,force,3546,3583,true,9
edge-aftershock-204,force,3827,3874,true,9
edge-aftershock-205,force,3923,3924,true,9
edge-aftershock-206,force,3923,3928,true,10
edge-aftershock-207,force,3923,3932,true,10
edge-aftershock-208,force,3923,3935,true,11
edge-aftershock-209,force,3923,3939,true,9
edge-aftershock-210,force,3923,3943,true,9
edge-aftershock-211,force,3923,3949,true,11
edge-aftershock-212,force,3923,3985,true,9
edge-aftershock-213,force,3923,3989,true,9
edge-aftershock-214,force,3923,3996,true,9
edge-aftershock-215,force,3923,3999,true,9
edge-aftershock-216,force,3923,4000,true,9
edge-aftershock-217,force,3923,4002,true,10
edge-aftershock-218,force,3923,4003,true,10
edge-aftershock-219,force,3923,4005,true,10
edge-aftershock-220,force,3923,4006,true,11
edge-aftershock-221,force,3923,4012,true,11
edge-aftershock-222,force,3923,4022,true,9
edge-aftershock-223,force,3923,4031,true,9
edge-aftershock-224,force,3950,3951,true,9
edge-aftershock-225,force,3950,3952,true,9
edge-aftershock-226,force,3950,3954,true,9
edge-aftershock-227,force,3950,3955,true,9
edge-aftershock-228,force,3950,3986,true,9
edge-aftershock-229,force,3970,3971,true,9
edge-aftershock-230,force,3970,3972,true,10
edge-aftershock-231,force,3970,3973,true,9
edge-aftershock-232,force,3970,3977,true,9
edge-aftershock-233,force,3970,3982,true,10
edge-aftershock-234,force,3970,3984,true,9
edge-aftershock-235,force,4111,4112,true,10
edge-aftershock-236,force,4111,4178,true,10
edge-aftershock-237,force,4386,4387,true,9
edge-aftershock-238,force,4386,4388,true,10
edge-aftershock-239,force,4386,4391,true,9
edge-aftershock-240,force,4386,4392,true,10
edge-aftershock-241,force,4386,4394,true,9
edge-aftershock-242,force,4386,4395,true,9
edge-aftershock-243,force,4386,4399,true,10
edge-aftershock-244,force,4386,4400,true,9
edge-aftershock-245,force,4386,4401,true,12
edge-aftershock-246,force,4386,4406,true,10
edge-aftershock-247,force,4386,4412,true,9
edge-aftershock-248,force,4386,4420,true,12
edge-aftershock-249,force,4386,4421,true,9
edge-aftershock-250,force,4386,4422,true,10
edge-aftershock-251,force,4386,4423,true,10
edge-aftershock-252,force,4386,4426,true,10
edge-aftershock-253,force,4386,4427,true,10
edge-aftershock-254,force,4386,4432,true,9
edge-aftershock-255,force,4386,4439,true,9
edge-aftershock-256,force,4386,4448,true,9
edge-aftershock-257,force,4386,4457,true,9
edge-aftershock-258,force,4386,4461,true,9
edge-aftershock-259,force,4386,4465,true,11
edge-aftershock-260,force,4386,4466,true,9
edge-aftershock-261,force,4386,4471,true,10
edge-aftershock-262,force,4386,4495,true,9
edge-aftershock-263,force,4386,4501,true,9
edge-aftershock-264,force,4386,4514,true,9
edge-aftershock-265,force,4386,4527,true,9
edge-aftershock-266,force,4414,4416,true,11
edge-aftershock-267,force,4414,4417,true,11
edge-aftershock-268,force,4414,4418,true,9
edge-aftershock-269,force,4414,4419,true,10
edge-aftershock-270,force,4414,4424,true,10
edge-aftershock-271,force,4414,4431,true,9
edge-aftershock-272,force,4414,4484,true,9
edge-aftershock-273,force,4414,4485,true,10
edge-aftershock-274,force,4414,4487,true,9
edge-aftershock-275,force,4665,4666,true,9
edge-aftershock-276,force,4665,4667,true,9
edge-aftershock-277,force,4665,4669,true,9
edge-aftershock-278,force,4665,4679,true,9
edge-aftershock-279,force,4665,4680,true,9
edge-aftershock-280,force,4665,4694,true,10
edge-aftershock-281,force,4665,4714,true,9
edge-aftershock-282,force,4665,4728,true,9
edge-aftershock-283,force,4665,4732,true,9
edge-aftershock-284,force,4665,4737,true,9
edge-aftershock-285,force,4665,4742,true,9
edge-aftershock-286,force,4665,4743,true,9
edge-aftershock-287,force,4697,4698,true,9
edge-aftershock-288,force,4697,4699,true,10
edge-aftershock-289,force,4697,4700,true,9
edge-aftershock-290,force,4697,4701,true,9
edge-aftershock-291,force,4697,4702,true,9
edge-aftershock-292,force,4697,4710,true,9
edge-aftershock-293,force,4832,4875,true,9
edge-aftershock-294,force,4904,4907,true,10
edge-aftershock-295,force,4904,4908,true,9
edge-aftershock-296,force,4904,4909,true,9
edge-aftershock-297,force,4904,4910,true,9
edge-aftershock-298,force,4904,4911,true,9
edge-aftershock-299,force,4904,4915,true,9
edge-aftershock-300,force,4904,4916,true,9
edge-aftershock-301,force,4904,4917,true,9
edge-aftershock-302,force,4904,4918,true,9
edge-aftershock-303,force,4904,4919,true,10
edge-aftershock-304,force,4904,4920,true,9
edge-aftershock-305,force,4904,4921,true,9
edge-aftershock-306,force,4904,4922,true,12
edge-aftershock-307,force,4904,4923,true,11
edge-aftershock-308,force,4904,4924,true,9
edge-aftershock-309,force,4904,4927,true,11
edge-aftershock-310,force,4904,4928,true,9
edge-aftershock-311,force,4904,4929,true,9
edge-aftershock-312,force,4904,4930,true,9
edge-aftershock-313,force,4904,4931,true,9
edge-aftershock-314,force,4904,4934,true,9
edge-aftershock-315,force,4904,4935,true,9
edge-aftershock-316,force,4904,4937,true,10
edge-aftershock-317,force,4904,4938,true,9
edge-aftershock-318,force,4904,4939,true,9
edge-aftershock-319,force,4904,4945,true,9
edge-aftershock-320,force,4904,4948,true,10
edge-aftershock-321,force,4904,4955,true,9
edge-aftershock-322,force,4904,4960,true,10
edge-aftershock-323,force,4904,4961,true,10
edge-aftershock-324,force,4904,4962,true,10
edge-aftershock-325,force,4904,4987,true,10
edge-aftershock-326,force,5031,5032,true,9
edge-aftershock-327,force,5031,5033,true,9
edge-aftershock-328,force,5031,5034,true,9
edge-aftershock-329,force,5031,5038,true,9
edge-aftershock-330,force,5031,5041,true,9
edge-aftershock-331,force,5031,5045,true,9
edge-aftershock-332,force,5031,5068,true,9
edge-aftershock-333,force,5031,5084,true,10
edge-aftershock-334,force,5031,5089,true,9
edge-aftershock-335,force,5031,5098,true,9
edge-aftershock-336,force,5031,5102,true,10
edge-aftershock-337,force,5031,5114,true,12
edge-aftershock-338,force,5031,5122,true,10
edge-aftershock-339,force,5031,5132,true,10
edge-aftershock-340,force,5031,5133,true,9
edge-aftershock-341,force,5031,5139,true,10
edge-aftershock-342,force,5031,5142,true,10
edge-aftershock-343,force,5043,5123,true,9
edge-aftershock-344,force,5206,5207,true,12
edge-aftershock-345,force,5206,5212,true,11
edge-aftershock-346,force,5216,5230,true,9
edge-aftershock-347,force,5807,5808,true,10
edge-aftershock-348,force,5940,5941,true,9
edge-aftershock-349,force,5940,5942,true,9
edge-aftershock-350,force,5940,5962,true,11
edge-aftershock-351,force,5940,5989,true,9
edge-aftershock-352,force,5956,5957,true,9
edge-aftershock-353,force,5956,5959,true,9
edge-aftershock-354,force,5956,6036,true,11
edge-aftershock-355,force,6437,6434,true,9
edge-aftershock-356,force,6437,6435,true,9
edge-aftershock-357,force,6437,6436,true,9
edge-aftershock-358,force,6437,6438,true,9
edge-aftershock-359,force,6437,6439,true,10
edge-aftershock-360,force,6437,6440,true,9
edge-aftershock-361,force,6437,6441,true,9
edge-aftershock-362,force,6437,6442,true,11
edge-aftershock-363,force,6437,6443,true,9
edge-aftershock-364,force,6437,6444,true,12
edge-aftershock-365,force,6437,6445,true,9
edge-aftershock-366,force,6437,6446,true,9
edge-aftershock-367,force,6437,6447,true,10
edge-aftershock-368,force,6437,6448,true,9
edge-aftershock-369,force,6437,6449,true,9
edge-aftershock-370,force,6437,6450,true,9
edge-aftershock-371,force,6437,6451,true,9
edge-aftershock-372,force,6437,6453,true,10
edge-aftershock-373,force,6437,6454,true,9
edge-aftershock-374,force,6437,6455,true,10
edge-aftershock-375,force,6437,6457,true,9
edge-aftershock-376,force,6437,6458,true,9
edge-aftershock-377,force,6437,6459,true,9
edge-aftershock-378,force,6437,6460,true,9
edge-aftershock-379,force,6437,6461,true,9
edge-aftershock-380,force,6437,6462,true,9
edge-aftershock-381,force,6437,6464,true,9
edge-aftershock-382,force,6437,6465,true,9
edge-aftershock-383,force,6437,6466,true,9
edge-aftershock-384,force,6437,6468,true,10
edge-aftershock-385,force,6437,6469,true,10
edge-aftershock-386,force,6437,6470,true,10
edge-aftershock-387,force,6437,6471,true,10
edge-aftershock-388,force,6437,6472,true,9
edge-aftershock-389,force,6437,6474,true,9
edge-aftershock-390,force,6437,6475,true,9
edge-aftershock-391,force,6437,6476,true,11
edge-aftershock-392,force,6437,6477,true,11
edge-aftershock-393,force,6437,6478,true,10
edge-aftershock-394,force,6437,6480,true,12
edge-aftershock-395,force,6437,6481,true,10
